,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
243,1,0,4.0,219,4,13,453,600,4769
244,1,0,4.0,73,4,0,192,300,2993
245,1,0,2.7,97,4,20,1593,400,5004
246,1,0,3.9,888,1,20,1430,750,2693
247,1,1,4.0,349,1,20,1515,1200,1148
248,1,0,4.2,287,1,62,1152,350,5004
249,1,1,4.6,2556,1,22,1464,600,5004
250,1,1,4.2,354,1,20,149,800,620
251,1,1,4.1,775,1,20,1382,800,5004
252,1,1,4.2,2115,1,20,1477,800,5004
253,0,1,3.8,977,1,46,876,1300,5004
254,0,0,4.1,868,1,57,702,1200,5004
255,1,0,4.0,324,1,13,460,700,4422
256,1,0,4.1,787,1,20,592,800,5004
257,1,0,4.2,504,1,13,483,550,909
258,1,0,4.1,402,1,13,330,500,3387
259,1,1,4.2,150,1,13,460,600,1375
260,1,1,4.2,164,1,13,378,500,2002
261,0,0,4.2,244,1,20,996,800,5004
262,1,0,4.0,771,1,20,1585,450,4507
263,1,0,4.2,1647,1,20,607,600,5004
264,0,1,4.0,808,1,20,1192,850,5004
265,0,0,4.0,424,1,13,381,450,5004
266,1,0,3.9,135,1,20,1218,800,3612
267,1,0,3.8,918,1,16,482,800,5004
268,1,0,3.8,90,1,13,330,650,5004
269,1,0,3.9,519,1,20,559,900,5004
270,1,0,3.6,105,1,20,1674,700,5004
271,1,0,3.9,133,1,13,439,800,1287
272,1,0,3.8,144,1,13,531,700,5004
273,0,0,3.9,93,1,13,454,300,5004
274,1,0,3.8,42,1,62,1585,300,2861
275,1,0,2.5,247,1,20,1152,500,2824
276,1,0,3.0,62,1,13,442,400,2384
277,1,0,3.8,160,1,20,1192,700,4014
278,1,0,3.6,129,1,20,1087,600,1316
279,0,0,3.3,62,1,4,1585,800,5004
280,0,0,2.6,283,1,20,1152,600,5004
281,1,0,3.8,59,1,20,1192,750,5004
282,1,0,3.5,179,1,20,1204,600,3557
283,0,0,3.8,62,1,62,1557,150,5004
284,0,0,3.0,98,1,4,1192,800,5004
285,0,0,2.7,128,1,20,602,850,5004
286,1,0,2.8,45,1,20,1479,800,2140
287,1,0,3.5,41,75,44,1471,400,5004
288,1,0,3.7,405,1,20,1470,750,4188
289,1,0,3.9,388,1,20,297,650,947
290,0,0,4.7,651,1,62,1543,100,5004
291,1,0,4.3,734,1,62,1593,200,4656
292,0,0,4.0,1047,1,62,976,450,5004
293,1,0,3.8,505,1,62,320,450,658
294,1,0,3.9,264,1,62,1543,200,3187
295,1,0,3.9,286,1,62,320,500,3350
